,precision,recall,f1-score,support
Abra,1.0,1.0,1.0,5.0
Aerodactyl,1.0,1.0,1.0,7.0
Alakazam,0.6666666666666666,1.0,0.8,4.0
Alolan Sandslash,1.0,1.0,1.0,8.0
Arbok,1.0,1.0,1.0,9.0
Arcanine,0.8571428571428571,1.0,0.9230769230769231,6.0
Articuno,1.0,1.0,1.0,5.0
Beedrill,1.0,1.0,1.0,6.0
Bellsprout,1.0,1.0,1.0,3.0
Blastoise,1.0,1.0,1.0,11.0
Bulbasaur,1.0,1.0,1.0,9.0
Butterfree,1.0,0.8,0.8888888888888888,5.0
Caterpie,1.0,1.0,1.0,8.0
Chansey,1.0,1.0,1.0,8.0
Charizard,0.6,0.75,0.6666666666666666,4.0
